BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-GIANT,1/3/2017,1/28/2017,FOOD & BEVERAGE,21.04,2017,CITI PCARD-GIANT
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRIS TEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,174.84,2017,CITI PCARD-HARRIS TEETER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRISTEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,326.61,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-PRET A MANGER,1/3/2017,1/28/2017,FOOD & BEVERAGE,52,2017,CITI PCARD-PRET A MANGER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-SAFEWAY  STORE,1/3/2017,1/28/2017,FOOD & BEVERAGE,111.68,2017,CITI PCARD-SAFEWAY  STORE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-USHR LONGWORTH FOOD CT,1/3/2017,1/28/2017,FOOD & BEVERAGE,81.1,2017,CITI PCARD-USHR LONGWORTH FOOD CT
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492347,CRYSTAL SPRINGS,1/24/2017,2/7/2017,FOOD & BEVERAGE,346.22,2017,CRYSTAL SPRINGS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492348,CAPITOL  HOST,2/13/2017,2/13/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492349,CAPITOL  HOST,2/6/2017,2/6/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492350,CAPITOL  HOST,2/7/2017,2/7/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492351,CAPITOL  HOST,2/1/2017,2/1/2017,FOOD & BEVERAGE,384.38,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492352,CAPITOL  HOST,2/1/2017,2/1/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492353,CAPITOL  HOST,1/11/2017,1/11/2017,FOOD & BEVERAGE,39.51,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492354,CAPITOL  HOST,1/4/2017,1/4/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/2/2017,AP,E0492357,BEHRINGER CAROLINE,2/8/2017,2/8/2017,FOOD & BEVERAGE,122,2017,BEHRINGER CAROLINE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/15/2017,AP,E0496011,CAPITOL  HOST,3/2/2017,3/2/2017,FOOD & BEVERAGE,106.71,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/15/2017,AP,E0496012,CAPITOL  HOST,3/1/2017,3/1/2017,FOOD & BEVERAGE,529.28,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DT,1/29/2017,2/28/2017,FOOD & BEVERAGE,96.25,2017,CITI PCARD-DT
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-FIREHOOK,1/29/2017,2/28/2017,FOOD & BEVERAGE,107.74,2017,CITI PCARD-FIREHOOK
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-PRET A MANGER,1/29/2017,2/28/2017,FOOD & BEVERAGE,501.16,2017,CITI PCARD-PRET A MANGER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-TARGET,1/29/2017,2/28/2017,FOOD & BEVERAGE,472.27,2017,CITI PCARD-TARGET
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-WHOLEFDS,1/29/2017,2/28/2017,FOOD & BEVERAGE,201.91,2017,CITI PCARD-WHOLEFDS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500672,CAPITOL  HOST,2/16/2017,2/16/2017,FOOD & BEVERAGE,220,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500673,CAPITOL  HOST,3/8/2017,3/8/2017,FOOD & BEVERAGE,76.86,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500676,CAPITOL  HOST,3/9/2017,3/9/2017,FOOD & BEVERAGE,149.84,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500677,CAPITOL  HOST,3/9/2017,3/9/2017,FOOD & BEVERAGE,73.25,2017,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/29/2017,AP,E0500685,CRYSTAL SPRINGS,3/7/2017,3/7/2017,FOOD & BEVERAGE,114.04,2017,CRYSTAL SPRINGS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CAP MARKET CAF,11/29/2016,12/28/2016,FOOD & BEVERAGE,19,2016,CITI PCARD-CAP MARKET CAF
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-COSTCO.COM   ONLINE,11/29/2016,12/28/2016,FOOD & BEVERAGE,483.31,2016,CITI PCARD-COSTCO.COM   ONLINE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-GIANT,11/29/2016,12/28/2016,FOOD & BEVERAGE,123.8,2016,CITI PCARD-GIANT
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-HARRIS TEETER,11/29/2016,12/28/2016,FOOD & BEVERAGE,78.97,2016,CITI PCARD-HARRIS TEETER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-PRET A MANGER,11/29/2016,12/28/2016,FOOD & BEVERAGE,52,2016,CITI PCARD-PRET A MANGER
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-ROTI MEDITERRANEAN GRI,11/29/2016,12/28/2016,FOOD & BEVERAGE,550.35,2016,CITI PCARD-ROTI MEDITERRANEAN GRI
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-SAFEWAY  STORE,11/29/2016,12/28/2016,FOOD & BEVERAGE,389.46,2016,CITI PCARD-SAFEWAY  STORE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484045,CRYSTAL SPRINGS,12/27/2016,12/27/2016,FOOD & BEVERAGE,265.26,2016,CRYSTAL SPRINGS
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484059,CAPITOL  HOST,11/29/2016,11/29/2016,FOOD & BEVERAGE,53.88,2016,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484064,CAPITOL  HOST,12/13/2016,12/13/2016,FOOD & BEVERAGE,36.63,2016,CAPITOL  HOST
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-ROLANDS GROCERY,12/29/2016,1/2/2017,FOOD & BEVERAGE,6.35,2017,CITI PCARD-ROLANDS GROCERY
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-TARGET,12/29/2016,1/2/2017,FOOD & BEVERAGE,403.1,2017,CITI PCARD-TARGET
,OFFICE OF THE MAJORITY WHIP,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-PJ'S COFFEE,1/29/2017,2/28/2017,FOOD & BEVERAGE,77.46,2017,CITI PCARD-PJ'S COFFEE
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-AMAZON MKTPLACE PMTS,1/29/2017,2/28/2017,FOOD & BEVERAGE,12.49,2017,CITI PCARD-AMAZON MKTPLACE PMTS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CARMINE'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,326.18,2017,CITI PCARD-CARMINE'S
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DOMINO'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,109.01,2017,CITI PCARD-DOMINO'S
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DT,1/29/2017,2/28/2017,FOOD & BEVERAGE,790.51,2017,CITI PCARD-DT
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-HARRIS TEETER,1/29/2017,2/28/2017,FOOD & BEVERAGE,904.85,2017,CITI PCARD-HARRIS TEETER
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-LEVELUP SWEETGREEN,1/29/2017,2/28/2017,FOOD & BEVERAGE,283.09,2017,CITI PCARD-LEVELUP SWEETGREEN
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-WE THE PIZZA,1/29/2017,2/28/2017,FOOD & BEVERAGE,71.18,2017,CITI PCARD-WE THE PIZZA
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CAPITOL HOST,11/29/2016,12/28/2016,FOOD & BEVERAGE,673.5,2016,CITI PCARD-CAPITOL HOST
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-DOMINO'S,11/29/2016,12/28/2016,FOOD & BEVERAGE,98.94,2016,CITI PCARD-DOMINO'S
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,E0479345,ARAMARK REFRESHMENT SERVICES,1/1/2017,1/31/2017,FOOD & BEVERAGE,108,2017,ARAMARK REFRESHMENT SERVICES
